iter	Passed	Remaining
0	1	148
1	3	150
2	4	131
3	4	117
4	5	111
5	7	114
6	8	111
7	9	106
8	10	102
9	10	98
10	11	95
11	12	94
12	15	101
13	17	104
14	18	102
15	18	99
16	20	100
17	21	98
18	22	96
19	23	94
20	24	91
21	25	89
22	25	86
23	27	86
24	30	90
25	31	88
26	31	86
27	32	84
28	33	82
29	34	80
30	35	78
31	36	76
32	36	75
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	43	67
39	45	68
40	47	67
41	48	67
42	49	66
43	50	64
44	51	62
45	52	61
46	53	60
47	54	58
48	55	58
49	56	56
50	59	57
51	60	56
52	61	54
53	63	53
54	64	52
55	65	51
56	66	49
57	66	48
58	67	47
59	68	45
60	69	44
61	70	43
62	71	41
63	71	40
64	74	40
65	76	39
66	78	38
67	79	37
68	80	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	89	29
75	91	28
76	92	27
77	93	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	97	18
84	98	17
85	101	16
86	101	15
87	103	14
88	106	13
89	107	11
90	109	10
91	110	9
92	111	8
93	112	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	185	0
